ds,normal_signal,anomalous_signal
2017-06-16 09:00:00,297.96,297.96
2017-06-16 10:00:00,297.15,297.15
2017-06-16 11:00:00,295.8,295.8
2017-06-16 12:00:00,295.0,295.0
2017-06-16 13:00:00,294.33,294.33
2017-06-16 14:00:00,294.75,294.75
2017-06-16 15:00:00,298.91,298.91
2017-06-16 16:00:00,301.88,301.88
2017-06-16 17:00:00,304.89,304.89
2017-06-16 18:00:00,306.9,306.9
2017-06-16 19:00:00,308.53,308.53
2017-06-16 20:00:00,310.81,310.81
2017-06-16 21:00:00,312.27,312.27
2017-06-16 22:00:00,313.89,313.89
2017-06-16 23:00:00,314.52,314.52
2017-06-17 00:00:00,314.92,314.92
2017-06-17 01:00:00,314.82,314.82
2017-06-17 02:00:00,314.28,314.28
2017-06-17 03:00:00,313.57,313.57
2017-06-17 04:00:00,310.65,310.65
2017-06-17 05:00:00,307.83,307.83
2017-06-17 06:00:00,305.58,305.58
2017-06-17 07:00:00,304.34,304.34
2017-06-17 08:00:00,303.55,303.55
2017-06-17 09:00:00,302.35,302.35
2017-06-17 10:00:00,301.34,301.34
2017-06-17 11:00:00,299.14,299.14
2017-06-17 12:00:00,297.96,297.96
2017-06-17 13:00:00,296.95,296.95
2017-06-17 14:00:00,297.27,297.27
2017-06-17 15:00:00,300.02,300.02
2017-06-17 16:00:00,302.59,302.59
2017-06-17 17:00:00,305.26,305.26
2017-06-17 18:00:00,307.15,307.15
2017-06-17 19:00:00,309.52,309.52
2017-06-17 20:00:00,311.15,311.15
2017-06-17 21:00:00,312.59,312.59
2017-06-17 22:00:00,314.25,314.25
2017-06-17 23:00:00,314.92,314.92
2017-06-18 00:00:00,315.52,315.52
2017-06-18 01:00:00,315.26,315.26
2017-06-18 02:00:00,314.9,314.9
2017-06-18 03:00:00,313.77,313.77
2017-06-18 04:00:00,310.72,310.72
2017-06-18 05:00:00,308.49,308.49
2017-06-18 06:00:00,305.8,305.8
2017-06-18 07:00:00,304.16,304.16
2017-06-18 08:00:00,301.96,301.96
2017-06-18 09:00:00,301.53,301.53
2017-06-18 10:00:00,300.16,300.16
2017-06-18 11:00:00,299.97,299.97
2017-06-18 12:00:00,297.93,297.93
2017-06-18 13:00:00,297.94,297.94
2017-06-18 14:00:00,297.76,297.76
2017-06-18 15:00:00,300.39,300.39
2017-06-18 16:00:00,303.51,303.51
2017-06-18 17:00:00,305.81,305.81
2017-06-18 18:00:00,308.15,308.15
2017-06-18 19:00:00,310.15,310.15
2017-06-18 20:00:00,311.49,311.49
2017-06-18 21:00:00,313.59,313.59
2017-06-18 22:00:00,315.03,315.03
2017-06-18 23:00:00,316.15,316.15
2017-06-19 00:00:00,316.77,316.77
2017-06-19 01:00:00,317.15,317.15
2017-06-19 02:00:00,316.7,316.7
2017-06-19 03:00:00,315.77,315.77
2017-06-19 04:00:00,313.14,313.14
2017-06-19 05:00:00,311.15,311.15
2017-06-19 06:00:00,308.15,308.15
2017-06-19 07:00:00,307.94,307.94
2017-06-19 08:00:00,305.51,305.51
2017-06-19 09:00:00,305.54,305.54
2017-06-19 10:00:00,303.75,303.75
2017-06-19 11:00:00,301.94,301.94
2017-06-19 12:00:00,300.94,300.94
2017-06-19 13:00:00,299.8,299.8
2017-06-19 14:00:00,301.14,301.14
2017-06-19 15:00:00,303.14,303.14
2017-06-19 16:00:00,305.39,305.39
2017-06-19 17:00:00,307.92,307.92
2017-06-19 18:00:00,310.59,310.59
2017-06-19 19:00:00,312.26,312.26
2017-06-19 20:00:00,314.37,314.37
2017-06-19 21:00:00,315.81,315.81
2017-06-19 22:00:00,317.37,317.37
2017-06-19 23:00:00,319.15,319.15
2017-06-20 00:00:00,319.31,319.31
2017-06-20 01:00:00,319.77,319.77
2017-06-20 02:00:00,319.29,319.29
2017-06-20 03:00:00,317.99,317.99
2017-06-20 04:00:00,315.43,315.43
2017-06-20 05:00:00,312.04,312.04
2017-06-20 06:00:00,310.78,310.78
2017-06-20 07:00:00,308.59,308.59
2017-06-20 08:00:00,307.94,307.94
2017-06-20 09:00:00,305.34,305.34
2017-06-20 10:00:00,304.96,304.96
2017-06-20 11:00:00,303.76,303.76
2017-06-20 12:00:00,302.55,302.55
2017-06-20 13:00:00,302.12,302.12
2017-06-20 14:00:00,301.86,301.86
2017-06-20 15:00:00,304.8,304.8
2017-06-20 16:00:00,308.58,308.58
2017-06-20 17:00:00,310.39,310.39
2017-06-20 18:00:00,312.37,312.37
2017-06-20 19:00:00,314.37,314.37
2017-06-20 20:00:00,316.78,316.78
2017-06-20 21:00:00,318.03,318.03
2017-06-20 22:00:00,319.28,319.28
2017-06-20 23:00:00,320.15,320.15
2017-06-21 00:00:00,320.86,320.86
2017-06-21 01:00:00,321.15,321.15
2017-06-21 02:00:00,320.44,320.44
2017-06-21 03:00:00,319.81,319.81
2017-06-21 04:00:00,316.81,316.81
2017-06-21 05:00:00,313.33,313.33
2017-06-21 06:00:00,310.64,310.64
2017-06-21 07:00:00,308.41,308.41
2017-06-21 08:00:00,308.15,308.15
2017-06-21 09:00:00,307.66,307.66
2017-06-21 10:00:00,306.4,306.4
2017-06-21 11:00:00,304.65,304.65
2017-06-21 12:00:00,303.43,303.43
2017-06-21 13:00:00,303.15,303.15
2017-06-21 14:00:00,303.4,303.4
2017-06-21 15:00:00,306.4,306.4
2017-06-21 16:00:00,307.89,307.89
2017-06-21 17:00:00,310.24,310.24
2017-06-21 18:00:00,312.15,312.15
2017-06-21 19:00:00,315.794,315.794
2017-06-21 20:00:00,315.03,315.03
2017-06-21 21:00:00,316.48,316.48
2017-06-21 22:00:00,317.52,317.52
2017-06-21 23:00:00,319.48,319.48
2017-06-22 00:00:00,319.7,319.7
2017-06-22 01:00:00,319.6,319.6
2017-06-22 02:00:00,319.52,319.52
2017-06-22 03:00:00,317.77,317.77
2017-06-22 04:00:00,315.15,315.15
2017-06-22 05:00:00,312.7,312.7
2017-06-22 06:00:00,311.33,311.33
2017-06-22 07:00:00,309.98,309.98
2017-06-22 08:00:00,307.57,307.57
2017-06-22 09:00:00,306.97,306.97
2017-06-22 10:00:00,305.77,305.77
2017-06-22 11:00:00,305.19,305.19
2017-06-22 12:00:00,303.77,303.77
2017-06-22 13:00:00,303.6,303.6
2017-06-22 14:00:00,303.75,303.75
2017-06-22 15:00:00,305.63,305.63
2017-06-22 16:00:00,306.91,306.91
2017-06-22 17:00:00,308.64,308.64
2017-06-22 18:00:00,309.93,309.93
2017-06-22 19:00:00,311.65,311.65
2017-06-22 20:00:00,312.7,312.7
2017-06-22 21:00:00,314.25,314.25
2017-06-22 22:00:00,315.15,315.15
2017-06-22 23:00:00,316.03,316.03
2017-06-23 00:00:00,316.59,316.59
2017-06-23 01:00:00,316.92,316.92
2017-06-23 02:00:00,316.4,316.4
2017-06-23 03:00:00,315.64,315.64
2017-06-23 04:00:00,313.27,313.27
2017-06-23 05:00:00,311.77,311.77
2017-06-23 06:00:00,309.92,309.92
2017-06-23 07:00:00,307.99,307.99
2017-06-23 08:00:00,306.48,306.48
2017-06-23 09:00:00,305.5,305.5
2017-06-23 10:00:00,304.65,304.65
2017-06-23 11:00:00,303.64,303.64
2017-06-23 12:00:00,302.32,302.32
2017-06-23 13:00:00,302.12,302.12
2017-06-23 14:00:00,302.24,302.24
2017-06-23 15:00:00,303.64,303.64
2017-06-23 16:00:00,305.64,305.64
2017-06-23 17:00:00,307.15,307.15
2017-06-23 18:00:00,308.75,308.75
2017-06-23 19:00:00,310.15,310.15
2017-06-23 20:00:00,311.55,311.55
2017-06-23 21:00:00,313.15,313.15
2017-06-23 22:00:00,314.65,314.65
2017-06-23 23:00:00,315.54,315.54
2017-06-24 00:00:00,316.65,316.65
2017-06-24 01:00:00,316.6,316.6
2017-06-24 02:00:00,316.59,316.59
2017-06-24 03:00:00,315.48,315.48
2017-06-24 04:00:00,313.37,313.37
2017-06-24 05:00:00,311.7,311.7
2017-06-24 06:00:00,309.83,309.83
2017-06-24 07:00:00,308.45,308.45
2017-06-24 08:00:00,307.01,307.01
2017-06-24 09:00:00,305.49,305.49
2017-06-24 10:00:00,304.33,304.33
2017-06-24 11:00:00,303.15,303.15
2017-06-24 12:00:00,301.97,301.97
2017-06-24 13:00:00,302.25,302.25
2017-06-24 14:00:00,301.56,301.56
2017-06-24 15:00:00,304.01,304.01
