time_step,signal_1,signal_2,signal_3,signal_4,signal_5,signal_6,signal_7,signal_8,signal_9,signal_10,signal_11,signal_12,signal_13,signal_14,signal_15,signal_16,signal_17,signal_18,signal_19,signal_20
0,297.96,297.96,297.96,297.96,297.96,297.96,297.96,297.96,297.96,297.96,297.96,297.96,297.96,297.96,297.96,297.96,297.96,297.96,297.96,297.96
1,297.15,297.15,297.15,297.15,297.15,297.15,297.15,297.15,297.15,297.15,297.15,297.15,297.15,297.15,297.15,297.15,297.15,297.15,297.15,297.15
2,295.8,295.8,295.8,295.8,295.8,295.8,295.8,295.8,295.8,295.8,295.8,295.8,295.8,295.8,295.8,295.8,295.8,295.8,295.8,295.8
3,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0
4,294.33,294.33,294.33,294.33,294.33,294.33,294.33,294.33,294.33,294.33,294.33,294.33,294.33,294.33,294.33,294.33,294.33,294.33,294.33,294.33
5,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75,294.75
6,298.91,298.91,298.91,298.91,298.91,298.91,298.91,298.91,298.91,298.91,298.91,298.91,298.91,298.91,298.91,298.91,298.91,298.91,298.91,298.91
7,301.88,301.88,301.88,301.88,301.88,301.88,301.88,301.88,301.88,301.88,301.88,301.88,301.88,301.88,301.88,301.88,301.88,301.88,301.88,301.88
8,304.89,304.89,304.89,304.89,304.89,304.89,304.89,304.89,304.89,304.89,304.89,304.89,304.89,304.89,304.89,304.89,304.89,304.89,304.89,304.89
9,306.9,306.9,306.9,306.9,306.9,306.9,306.9,306.9,306.9,306.9,306.9,306.9,306.9,306.9,306.9,306.9,306.9,306.9,306.9,306.9
10,308.53,308.53,308.53,308.53,308.53,308.53,308.53,308.53,308.53,308.53,308.53,308.53,308.53,308.53,308.53,308.53,308.53,308.53,308.53,308.53
11,310.81,310.81,310.81,310.81,310.81,310.81,310.81,310.81,310.81,310.81,310.81,310.81,310.81,310.81,310.81,310.81,310.81,310.81,310.81,310.81
12,312.27,312.27,312.27,312.27,312.27,312.27,312.27,312.27,312.27,312.27,312.27,312.27,312.27,312.27,312.27,312.27,312.27,312.27,312.27,312.27
13,313.89,313.89,313.89,313.89,313.89,313.89,313.89,313.89,313.89,313.89,313.89,313.89,313.89,313.89,313.89,313.89,313.89,313.89,313.89,313.89
14,314.52,314.52,314.52,314.52,314.52,314.52,314.52,314.52,314.52,314.52,314.52,314.52,314.52,314.52,314.52,314.52,314.52,314.52,314.52,314.52
15,314.92,314.92,314.92,314.92,314.92,314.92,314.92,314.92,314.92,314.92,314.92,314.92,314.92,314.92,314.92,314.92,314.92,314.92,314.92,314.92
16,314.82,314.82,314.82,314.82,314.82,314.82,314.82,314.82,314.82,314.82,314.82,314.82,314.82,314.82,314.82,314.82,314.82,314.82,314.82,314.82
17,314.28,314.28,314.28,314.28,314.28,314.28,314.28,314.28,314.28,314.28,314.28,314.28,314.28,314.28,314.28,314.28,314.28,314.28,314.28,314.28
18,313.57,313.57,313.57,313.57,313.57,313.57,313.57,313.57,313.57,313.57,313.57,313.57,313.57,313.57,313.57,313.57,313.57,313.57,313.57,313.57
19,310.65,310.65,310.65,310.65,310.65,310.65,310.65,310.65,310.65,310.65,310.65,310.65,310.65,310.65,310.65,310.65,310.65,310.65,310.65,310.65
20,307.83,307.83,307.83,307.83,307.83,307.83,307.83,307.83,307.83,307.83,307.83,307.83,307.83,307.83,307.83,307.83,307.83,307.83,307.83,307.83
21,305.58,305.58,305.58,305.58,305.58,305.58,305.58,305.58,305.58,305.58,305.58,305.58,305.58,305.58,305.58,305.58,305.58,305.58,305.58,305.58
