ds,actual,forecast_mean,forecast_lo,forecast_hi,anchor_index,type
2025-08-17,3105.0,,,,,observed
2025-08-18,3202.5,,,,,observed
2025-08-19,3201.67,,,,,observed
2025-08-20,3202.89,,,,,observed
2025-08-21,3203.54,,,,,observed
2025-08-22,3211.09,,,,,observed
2025-08-23,3109.97,,,,,observed
2025-08-24,3112.44,,,,,observed
2025-08-25,3210.87,,,,,observed
2025-08-26,3207.5,,,,,observed
2025-08-27,3209.08,,,,,observed
2025-08-28,3206.87,,,,,observed
2025-08-29,3207.46,,,,,observed
2025-08-30,3111.1,,,,,observed
2025-08-31,3108.49,,,,,observed
2025-08-27,,3211.316,3203.8625,3218.7693,0.0,forecast
2025-08-28,,3209.913,3200.6914,3219.1348,0.0,forecast
2025-08-29,,3190.1206,3158.8877,3221.3535,0.0,forecast
2025-08-30,,3105.8481,3078.8425,3132.8538,0.0,forecast
2025-08-31,,3105.149,3078.0918,3132.206,0.0,forecast
2025-09-01,,3202.2266,3173.366,3231.0872,0.0,forecast
2025-09-02,,3213.2344,3196.263,3230.2058,0.0,forecast
2025-08-28,,3209.5522,3203.1978,3215.9067,1.0,forecast
2025-08-29,,3191.0374,3161.6848,3220.39,1.0,forecast
2025-08-30,,3104.3252,3076.3992,3132.2512,1.0,forecast
2025-08-31,,3106.5251,3081.5989,3131.4514,1.0,forecast
2025-09-01,,3205.6501,3181.8467,3229.4536,1.0,forecast
2025-09-02,,3213.1448,3198.0806,3228.209,1.0,forecast
2025-09-03,,3212.2542,3194.737,3229.7712,1.0,forecast
2025-08-29,,3186.432,3155.7852,3217.0786,2.0,forecast
2025-08-30,,3102.6943,3074.6506,3130.738,2.0,forecast
2025-08-31,,3105.158,3081.5178,3128.798,2.0,forecast
2025-09-01,,3201.775,3178.0366,3225.5132,2.0,forecast
2025-09-02,,3210.58,3196.612,3224.548,2.0,forecast
2025-09-03,,3208.0454,3190.175,3225.9158,2.0,forecast
2025-09-04,,3205.6316,3184.1482,3227.115,2.0,forecast
2025-08-30,,3107.3298,3083.4783,3131.1814,3.0,forecast
2025-08-31,,3108.9888,3088.4993,3129.4783,3.0,forecast
2025-09-01,,3208.0696,3192.0034,3224.1357,3.0,forecast
2025-09-02,,3214.034,3205.3657,3222.7021,3.0,forecast
2025-09-03,,3211.1802,3198.6865,3223.6738,3.0,forecast
2025-09-04,,3210.8857,3197.451,3224.3206,3.0,forecast
2025-09-05,,3187.8992,3144.0762,3231.7222,3.0,forecast
2025-08-31,,3107.339,3091.357,3123.3213,4.0,forecast
2025-09-01,,3208.7905,3198.614,3218.967,4.0,forecast
2025-09-02,,3216.8938,3209.584,3224.2036,4.0,forecast
2025-09-03,,3211.2324,3202.8203,3219.6445,4.0,forecast
2025-09-04,,3207.1746,3194.4636,3219.8855,4.0,forecast
2025-09-05,,3188.3035,3149.8948,3226.7122,4.0,forecast
2025-09-06,,3106.6284,3085.9385,3127.3184,4.0,forecast
