ds,actual,forecast,lo_90,hi_90,type
2020-03-19 01:00:00,-3.652670507351767,,,,historical
2020-03-19 02:00:00,-3.6484823197334526,,,,historical
2020-03-19 03:00:00,-3.6437284261809006,,,,historical
2020-03-19 04:00:00,-3.638416061553638,,,,historical
2020-03-19 05:00:00,-3.6325513636672007,,,,historical
2020-03-19 06:00:00,-3.6261393134844147,,,,historical
2020-03-19 07:00:00,-3.619183681789803,,,,historical
2020-03-19 08:00:00,-3.6116869827720652,,,,historical
2020-03-19 09:00:00,-3.6036504349068035,,,,historical
2020-03-19 10:00:00,-3.5950739294961322,,,,historical
2020-03-19 11:00:00,-3.5859560071840018,,,,historical
2020-03-19 12:00:00,-3.5762938427256805,,,,historical
2020-03-19 13:00:00,-3.5660832382477454,,,,historical
2020-03-19 14:00:00,-3.555318625190523,,,,historical
2020-03-19 15:00:00,-3.543993075079254,,,,historical
2020-03-19 16:00:00,-3.5320983192229423,,,,historical
2020-03-19 17:00:00,-3.519624777391402,,,,historical
2020-03-19 18:00:00,-3.5065615954717173,,,,historical
2020-03-19 19:00:00,-3.4928966920553175,,,,historical
2020-03-19 20:00:00,-3.478616813856516,,,,historical
2020-03-19 21:00:00,-3.4637075998128357,,,,historical
2020-03-19 22:00:00,-3.448153653667178,,,,historical
2020-03-19 23:00:00,-3.4319386247819823,,,,historical
2020-03-20 00:00:00,-3.415045296886374,,,,historical
2020-03-20 01:00:00,-3.3974556844091963,,,,historical
2020-03-20 02:00:00,-3.3791511360038586,,,,historical
2020-03-20 03:00:00,-3.360112444825718,,,,historical
2020-03-20 04:00:00,-3.3403199650790905,,,,historical
2020-03-20 05:00:00,-3.3197537343096286,,,,historical
2020-03-20 06:00:00,-3.298393600878565,,,,historical
2020-03-20 07:00:00,-3.2762193560188413,,,,historical
2020-03-20 08:00:00,-3.253210869839247,,,,historical
2020-03-20 09:00:00,-3.2293482306119206,,,,historical
2020-03-20 10:00:00,-3.2046118866509077,,,,historical
2020-03-20 11:00:00,-3.17898279006523,,,,historical
2020-03-20 12:00:00,-3.152442541649162,,,,historical
2020-03-20 13:00:00,-3.1249735361554,,,,historical
2020-03-20 14:00:00,-3.0965591071835474,,,,historical
2020-03-20 15:00:00,-3.0671836709070703,,,,historical
2020-03-20 16:00:00,-3.0368328678565324,,,,historical
2020-03-20 17:00:00,-3.0054937019757646,,,,historical
2020-03-20 18:00:00,-2.9731546761704895,,,,historical
2020-03-20 19:00:00,-2.939805923576039,,,,historical
2020-03-20 20:00:00,-2.9054393337820024,,,,historical
2020-03-20 21:00:00,-2.87004867326703,,,,historical
2020-03-20 22:00:00,-2.8336296993164827,,,,historical
2020-03-20 23:00:00,-2.7961802667191322,,,,historical
2020-03-21 00:00:00,-2.757700426566563,,,,historical
2020-03-21 01:00:00,-2.7181925165102307,,,,historical
2020-03-21 02:00:00,-2.6776612418661387,,,,historical
2020-03-21 03:00:00,-2.636113746995676,,,,historical
2020-03-21 04:00:00,-2.5935596764331397,,,,historical
2020-03-21 05:00:00,-2.5500112252756164,,,,historical
2020-03-21 06:00:00,-2.5054831783990927,,,,historical
2020-03-21 07:00:00,-2.4599929381155956,,,,historical
2020-03-21 08:00:00,-2.413560539939667,,,,historical
2020-03-21 09:00:00,-2.3662086561881797,,,,historical
2020-03-21 10:00:00,-2.3179625871953045,,,,historical
2020-03-21 11:00:00,-2.2688502399838963,,,,historical
2020-03-21 12:00:00,-2.2189020942954416,,,,historical
2020-03-21 13:00:00,-2.1681511559427795,,,,historical
2020-03-21 14:00:00,-2.1166328975125803,,,,historical
2020-03-21 15:00:00,-2.0643851865079497,,,,historical
2020-03-21 16:00:00,-2.011448201084953,,,,historical
2020-03-21 17:00:00,-1.9578643336002375,,,,historical
2020-03-21 18:00:00,-1.9036780822497195,,,,historical
2020-03-21 19:00:00,-1.8489359311403757,,,,historical
2020-03-21 20:00:00,-1.7936862191980159,,,,historical
2020-03-21 21:00:00,-1.7379789983734064,,,,historical
2020-03-21 22:00:00,-1.6818658816666547,,,,historical
2020-03-21 23:00:00,-1.6253998815454354,,,,historical
2020-03-22 00:00:00,-1.568635239385716,,,,historical
2020-03-22 01:00:00,-1.5116272466142027,,,,historical
2020-03-22 02:00:00,-1.4544320582791943,,,,historical
2020-03-22 03:00:00,-1.3971064998209466,,,,historical
2020-03-22 04:00:00,-1.3397078678534033,,,,historical
2020-03-22 05:00:00,-1.2822937258064055,,,,historical
2020-03-22 06:00:00,-1.2249216953106405,,,,historical
2020-03-22 07:00:00,-1.1676492442368442,,,,historical
2020-03-22 08:00:00,-1.1105334723255256,,,,historical
2020-03-22 09:00:00,-1.053630895363979,,,,historical
2020-03-22 10:00:00,-0.9969972288831707,,,,historical
2020-03-22 11:00:00,-0.9406871723583048,,,,historical
2020-03-22 12:00:00,-0.8847541949032443,,,,historical
2020-03-22 13:00:00,-0.8292503234506456,,,,historical
2020-03-22 14:00:00,-0.7742259344063362,,,,historical
2020-03-22 15:00:00,-0.7197295497583934,,,,historical
2020-03-22 16:00:00,-0.6658076386083691,,,,historical
2020-03-22 17:00:00,-0.6125044250743716,,,,historical
2020-03-22 18:00:00,-0.5598617034930794,,,,historical
2020-03-22 19:00:00,-0.5079186618206397,,,,historical
2020-03-22 20:00:00,-0.45671171410056444,,,,historical
2020-03-22 21:00:00,-0.40627434283061764,,,,historical
2020-03-22 22:00:00,-0.3566369520201848,,,,historical
2020-03-22 23:00:00,-0.307826731685143,,,,historical
2020-03-23 00:00:00,-0.2598675344788436,,,,historical
2020-03-23 01:00:00,-0.21277976510577423,,,,historical
2020-03-23 02:00:00,-0.16658028310901693,,,,historical
2020-03-23 03:00:00,-0.12128231956405651,,,,historical
2020-03-23 04:00:00,-0.07689540814998906,,,,historical
2020-03-23 05:00:00,-0.033425331005205235,,,,historical
2020-03-23 06:00:00,0.009125920291720092,,,,historical
