ds,actual,forecast,lo_90,hi_90,type
2020-01-01 00:00:00,0.8707100775996098,,,,historical
2020-01-01 01:00:00,0.9000419088851913,,,,historical
2020-01-01 02:00:00,0.9296296101457936,,,,historical
2020-01-01 03:00:00,0.9595343385568368,,,,historical
2020-01-01 04:00:00,0.9898162797006104,,,,historical
2020-01-01 05:00:00,1.020534405528484,,,,historical
2020-01-01 06:00:00,1.051746237391349,,,,historical
2020-01-01 07:00:00,1.0835076151563534,,,,historical
2020-01-01 08:00:00,1.1158724733994076,,,,historical
2020-01-01 09:00:00,1.1488926256295844,,,,historical
2020-01-01 10:00:00,1.1826175574637803,,,,historical
2020-01-01 11:00:00,1.2170942296278222,,,,historical
2020-01-01 12:00:00,1.2523668916140154,,,,historical
2020-01-01 13:00:00,1.2884769067749937,,,,historical
2020-01-01 14:00:00,1.3254625895800327,,,,historical
2020-01-01 15:00:00,1.3633590557028832,,,,historical
2020-01-01 16:00:00,1.4021980855500564,,,,historical
2020-01-01 17:00:00,1.4420080017755863,,,,historical
2020-01-01 18:00:00,1.4828135612629136,,,,historical
2020-01-01 19:00:00,1.5246358619870797,,,,historical
2020-01-01 20:00:00,1.5674922651011247,,,,historical
2020-01-01 21:00:00,1.6113963325198881,,,,historical
2020-01-01 22:00:00,1.6563577802025853,,,,historical
2020-01-01 23:00:00,1.7023824472630105,,,,historical
2020-01-02 00:00:00,1.749472280963284,,,,historical
2020-01-02 01:00:00,1.7976253375741353,,,,historical
2020-01-02 02:00:00,1.8468357990121227,,,,historical
2020-01-02 03:00:00,1.8970940050922895,,,,historical
2020-01-02 04:00:00,1.9483865011639436,,,,historical
2020-01-02 05:00:00,2.000696100827768,,,,historical
2020-01-02 06:00:00,2.0540019633648057,,,,historical
2020-01-02 07:00:00,2.1082796854422012,,,,historical
2020-01-02 08:00:00,2.1635014065973164,,,,historical
2020-01-02 09:00:00,2.219635927941294,,,,historical
2020-01-02 10:00:00,2.2766488434654977,,,,historical
2020-01-02 11:00:00,2.3345026832799545,,,,historical
2020-01-02 12:00:00,2.3931570680620187,,,,historical
2020-01-02 13:00:00,2.4525688739464115,,,,historical
2020-01-02 14:00:00,2.5126924070445997,,,,historical
2020-01-02 15:00:00,2.5734795867424727,,,,historical
2020-01-02 16:00:00,2.6348801368906187,,,,historical
2020-01-02 17:00:00,2.6968417839712666,,,,historical
2020-01-02 18:00:00,2.7593104613003607,,,,historical
2020-01-02 19:00:00,2.82223051830238,,,,historical
2020-01-02 20:00:00,2.8855449338793435,,,,historical
2020-01-02 21:00:00,2.9491955328842536,,,,historical
2020-01-02 22:00:00,3.013123204702778,,,,historical
2020-01-02 23:00:00,3.0772681229454903,,,,historical
2020-01-03 00:00:00,3.141569965256327,,,,historical
2020-01-03 01:00:00,3.2059681322510674,,,,historical
2020-01-03 02:00:00,3.2704019646125526,,,,historical
2020-01-03 03:00:00,3.334810957386874,,,,historical
2020-01-03 04:00:00,3.3991349705469025,,,,historical
2020-01-03 05:00:00,3.463314434915921,,,,historical
2020-01-03 06:00:00,3.527290552574906,,,,historical
2020-01-03 07:00:00,3.5910054909116877,,,,historical
2020-01-03 08:00:00,3.654402569508882,,,,historical
2020-01-03 09:00:00,3.7174264391096767,,,,historical
2020-01-03 10:00:00,3.780023251946186,,,,historical
2020-01-03 11:00:00,3.84214082276386,,,,historical
2020-01-03 12:00:00,3.9037287799270355,,,,historical
2020-01-03 13:00:00,3.964738706044965,,,,historical
2020-01-03 14:00:00,4.0251242676141015,,,,historical
