ds,FOODS_1_001,FOODS_1_002,FOODS_1_003,FOODS_1_004,FOODS_1_005,FOODS_1_006,FOODS_1_008,FOODS_1_009
2015-06-21,1,0,0,29,1,0,0,0
2015-06-22,0,0,0,19,0,1,3,2
2015-06-23,0,1,0,20,0,0,0,3
2015-06-24,0,1,3,17,3,1,0,0
2015-06-25,0,1,0,23,0,1,0,1
2015-06-26,0,0,0,18,0,1,3,0
2015-06-27,1,0,0,15,0,1,0,1
2015-06-28,0,0,0,22,1,0,0,3
2015-06-29,0,0,0,10,1,5,1,2
2015-06-30,0,0,2,7,0,3,0,1
2015-07-01,1,0,0,21,1,5,0,3
2015-07-02,1,1,1,23,5,0,0,0
2015-07-03,0,3,0,15,11,2,1,4
2015-07-04,0,0,2,13,0,0,1,2
2015-07-05,0,0,2,27,1,2,5,0
2015-07-06,1,3,2,30,0,2,0,1
2015-07-07,0,1,0,10,1,3,0,2
2015-07-08,0,0,0,28,0,9,0,1
2015-07-09,1,0,1,27,0,1,0,0
2015-07-10,0,1,1,33,0,3,0,0
2015-07-11,0,1,1,35,1,3,0,0
2015-07-12,3,1,0,17,0,1,0,0
2015-07-13,1,0,2,18,1,5,0,0
2015-07-14,0,1,0,10,1,0,1,0
2015-07-15,0,0,0,14,0,0,0,0
2015-07-16,1,0,1,14,2,5,0,0
2015-07-17,0,1,0,14,0,1,1,0
2015-07-18,2,0,1,21,1,0,0,0
2015-07-19,3,0,0,17,1,0,0,0
2015-07-20,0,0,1,5,0,2,0,0
2015-07-21,0,1,0,14,0,0,0,0
2015-07-22,0,1,3,12,1,3,0,0
2015-07-23,0,2,0,20,0,2,0,0
2015-07-24,1,0,1,25,0,2,0,0
2015-07-25,0,0,0,20,2,0,1,0
2015-07-26,0,0,2,10,3,1,0,0
2015-07-27,0,2,1,13,2,1,0,0
2015-07-28,1,1,1,11,1,4,0,0
2015-07-29,0,0,5,17,0,2,1,0
2015-07-30,0,1,3,14,0,1,0,0
2015-07-31,1,1,0,15,1,5,1,0
2015-08-01,0,0,0,25,2,5,2,0
2015-08-02,0,3,0,22,3,3,1,0
2015-08-03,0,1,0,15,1,0,1,0
2015-08-04,0,0,0,5,2,1,0,0
2015-08-05,0,0,0,10,2,2,0,0
2015-08-06,0,0,1,6,0,0,0,0
2015-08-07,1,1,0,19,2,0,0,0
2015-08-08,0,1,2,17,1,2,2,0
2015-08-09,3,0,3,9,0,2,0,0
2015-08-10,1,0,0,16,2,0,1,0
2015-08-11,2,1,1,14,1,5,0,0
2015-08-12,0,2,0,11,1,2,1,0
2015-08-13,0,2,1,11,0,5,0,0
2015-08-14,0,0,0,6,1,2,0,0
2015-08-15,0,0,1,16,1,4,0,0
2015-08-16,0,0,0,14,1,1,0,0
2015-08-17,0,0,0,13,3,6,0,0
2015-08-18,4,0,0,11,2,3,0,0
2015-08-19,0,1,1,10,1,0,3,0
2015-08-20,1,0,0,6,0,10,0,0
2015-08-21,1,2,3,12,1,1,0,0
2015-08-22,0,0,2,13,0,3,1,0
2015-08-23,1,1,2,13,2,2,1,0
2015-08-24,0,0,0,10,1,0,1,0
2015-08-25,0,1,0,6,1,2,0,0
2015-08-26,1,2,0,9,0,1,0,0
2015-08-27,0,0,0,3,1,0,0,0
2015-08-28,2,0,3,13,0,1,0,0
2015-08-29,0,0,1,23,2,4,1,3
2015-08-30,0,0,1,14,0,0,0,1
2015-08-31,0,0,2,8,0,5,0,3
2015-09-01,0,0,0,5,2,0,0,0
2015-09-02,1,0,1,5,2,2,0,1
2015-09-03,0,0,0,7,0,1,0,3
2015-09-04,0,0,0,8,3,0,0,0
2015-09-05,0,0,1,6,0,3,0,0
2015-09-06,0,0,0,8,0,0,2,0
2015-09-07,0,0,0,13,0,3,1,4
2015-09-08,0,1,0,5,0,3,0,6
2015-09-09,1,0,0,6,2,1,0,5
2015-09-10,0,0,2,4,2,0,0,1
2015-09-11,4,0,2,8,2,0,1,0
2015-09-12,0,0,0,11,2,0,3,2
2015-09-13,0,1,0,9,2,0,0,0
2015-09-14,0,2,0,8,1,0,0,1
2015-09-15,0,0,1,5,5,5,0,0
2015-09-16,0,1,0,4,1,0,0,0
2015-09-17,1,0,0,12,3,3,0,0
2015-09-18,2,1,0,16,0,2,0,2
2015-09-19,3,1,1,6,0,1,0,1
2015-09-20,0,0,1,13,0,3,1,1
2015-09-21,0,0,0,10,3,1,0,0
2015-09-22,0,0,0,2,2,1,0,0
2015-09-23,0,0,2,6,1,0,0,0
2015-09-24,2,0,5,2,0,2,1,1
2015-09-25,1,2,2,9,1,2,0,0
2015-09-26,0,0,2,11,0,2,0,3
2015-09-27,0,0,0,8,0,0,0,0
2015-09-28,0,0,3,8,0,0,0,0
2015-09-29,0,1,0,4,1,1,0,1
2015-09-30,0,0,0,6,1,5,0,0
2015-10-01,0,0,0,8,0,2,3,0
2015-10-02,0,0,1,9,1,8,1,0
2015-10-03,0,2,2,10,1,0,2,1
2015-10-04,4,0,0,21,0,0,0,2
2015-10-05,0,1,8,5,1,2,0,3
2015-10-06,1,0,0,8,2,0,0,1
2015-10-07,0,0,0,11,2,0,0,0
2015-10-08,0,1,0,2,4,3,0,2
2015-10-09,0,0,0,7,1,0,0,0
2015-10-10,1,0,0,5,4,0,1,0
2015-10-11,4,0,0,8,1,0,0,0
2015-10-12,1,0,1,2,2,1,0,1
2015-10-13,0,0,1,3,0,0,0,0
2015-10-14,0,0,0,6,1,0,0,1
2015-10-15,0,1,0,4,2,1,0,3
2015-10-16,1,0,0,9,0,0,2,1
2015-10-17,0,3,1,6,2,0,0,5
2015-10-18,1,0,1,10,1,0,0,2
2015-10-19,0,0,2,3,3,0,0,2
2015-10-20,0,0,0,4,1,0,1,0
2015-10-21,2,0,1,7,3,0,0,0
2015-10-22,0,0,0,7,4,0,0,0
2015-10-23,0,0,1,4,0,4,0,1
2015-10-24,0,1,1,6,3,2,0,3
2015-10-25,1,1,0,11,4,0,0,0
2015-10-26,0,0,1,1,1,1,0,1
2015-10-27,0,0,0,13,1,0,0,0
2015-10-28,0,0,1,10,2,1,0,8
2015-10-29,1,0,2,7,1,5,1,1
2015-10-30,1,0,1,9,2,1,0,0
2015-10-31,0,0,2,6,5,6,1,0
2015-11-01,1,0,0,5,1,2,0,1
2015-11-02,1,1,0,3,1,0,0,0
2015-11-03,1,0,1,3,1,0,1,0
2015-11-04,0,0,0,7,0,0,0,0
2015-11-05,0,0,0,3,2,0,0,0
2015-11-06,0,0,4,0,0,1,0,1
2015-11-07,1,1,0,7,0,2,4,2
2015-11-08,0,0,0,11,1,0,0,2
2015-11-09,0,1,0,0,0,1,0,0
2015-11-10,2,0,0,5,0,0,0,1
2015-11-11,0,1,0,8,3,3,0,1
2015-11-12,1,0,0,4,1,1,0,0
2015-11-13,0,0,0,3,2,0,0,1
2015-11-14,1,0,2,0,0,2,1,3
2015-11-15,0,0,1,3,3,1,0,4
2015-11-16,1,1,0,1,1,0,0,1
2015-11-17,1,0,0,2,1,0,0,2
2015-11-18,6,1,0,2,0,3,0,2
2015-11-19,0,0,0,0,3,0,0,3
2015-11-20,0,0,0,7,2,4,5,0
2015-11-21,1,0,1,10,0,5,0,0
2015-11-22,1,1,1,0,0,0,1,0
2015-11-23,1,2,0,0,2,1,0,3
2015-11-24,1,0,1,6,2,0,0,1
2015-11-25,0,0,0,3,2,3,0,0
2015-11-26,2,0,0,0,0,0,0,2
2015-11-27,1,0,0,0,1,0,1,0
2015-11-28,0,0,2,0,1,0,0,2
2015-11-29,1,0,0,0,1,2,0,1
2015-11-30,0,0,1,0,0,0,0,0
2015-12-01,0,0,1,0,0,2,0,0
2015-12-02,1,1,0,0,2,2,0,0
2015-12-03,0,0,0,0,0,1,0,0
2015-12-04,3,0,0,0,1,2,0,1
2015-12-05,0,0,0,0,3,6,0,2
2015-12-06,0,0,3,0,1,2,0,0
2015-12-07,2,2,0,0,1,1,0,0
2015-12-08,4,0,0,0,0,1,0,2
2015-12-09,1,0,0,0,1,3,0,0
