year,actual,prediction,split
1999,1.0657764478764478,0.8517551723245262,train
2000,0.9236125490196078,0.9529254972676842,train
2001,0.8956295275590551,1.0399347659719937,train
2002,0.945573725490196,1.1136259678720037,train
2003,1.1311603921568627,1.174842092402262,train
2004,1.2439023166023166,1.2244261289973173,train
2005,1.2440902723735408,1.2632210670917177,train
2006,1.2555988235294118,1.2920698961200114,train
2007,1.3704780392156863,1.3118156055167467,train
2008,1.47075546875,1.3233011847164724,train
2009,1.394782421875,1.3273696231537364,train
2010,1.3257166666666667,1.324863910263087,train
2011,1.391955252918288,1.3166270354790726,train
2012,1.284788671875,1.3035019882362417,train
2013,1.3281180392156862,1.2863317579691425,train
2014,1.3285007843137255,1.265959334112323,train
2015,1.109512890625,1.2432277061003318,train
2016,1.106903112840467,1.2189798633677176,train
2017,1.129681176470588,1.1940587953490278,train
2018,1.1809545098039216,1.169307491478812,train
2019,1.1194745098039216,1.1455689411916172,train
2020,1.1421961089494164,1.1236861339219921,train
2021,1.1827403100775193,1.104502059104486,train
2022,1.0530486381322959,1.0888597061736454,validation
2023,1.0812686274509804,1.0776020645640199,validation
2024,1.08238046875,1.0715721237101585,test
2025,1.0531784615384614,1.0716128730466077,test
