ds,actual,prediction,lower_bound,upper_bound,type
2024-01-01,1.0956,,,,train
2024-01-02,1.0919,,,,train
2024-01-03,1.0953,,,,train
2024-01-04,1.0921,,,,train
2024-01-05,1.0946,,,,train
2024-01-06,1.094,,,,train
2024-01-07,1.0946,,,,train
2024-01-08,1.0987,,,,train
2024-01-09,1.0942,,,,train
2024-01-10,1.0945,,,,train
2024-01-11,1.0882,,,,train
2024-01-12,1.0877,,,,train
2024-01-13,1.0875,,,,train
2024-01-14,1.0887,,,,train
2024-01-15,1.089,,,,train
2024-01-16,1.0872,,,,train
2024-01-17,1.0905,,,,train
2024-01-18,1.0893,,,,train
2024-01-19,1.0871,,,,train
2024-01-20,1.0823,,,,train
2024-01-21,1.0846,,,,train
2024-01-22,1.0837,,,,train
2024-01-23,1.0814,,,,train
2024-01-24,1.0883,,,,train
2024-01-25,1.0746,,,,train
2024-01-26,1.0743,,,,train
2024-01-27,1.0776,,,,train
2024-01-28,1.0758,,,,train
2024-01-29,1.0772,,,,train
2024-01-30,1.0773,,,,train
2024-01-31,1.0793,,,,train
2024-02-01,1.0713,,,,train
2024-02-02,1.0743,,,,train
2024-02-03,1.0768,,,,train
2024-02-04,1.0776,,,,train
2024-02-05,1.0802,,,,train
2024-02-06,1.0809,,,,train
2024-02-07,1.0844,,,,train
2024-02-08,1.0834,,,,train
2024-02-09,1.0852,,,,train
2024-02-10,1.0856,,,,train
2024-02-11,1.0808,,,,train
2024-02-12,1.0826,,,,train
2024-02-13,1.0813,,,,train
2024-02-14,1.0846,,,,train
2024-02-15,1.0849,,,,train
2024-02-16,1.0874,,,,train
2024-02-17,1.0895,,,,train
2024-02-18,1.0932,,,,train
2024-02-19,1.0926,,,,train
2024-02-20,1.0916,,,,train
2024-02-21,1.0939,,,,train
2024-02-22,1.0925,,,,train
2024-02-23,1.0892,,,,train
2024-02-24,1.0892,,,,train
2024-02-25,1.0854,,,,train
2024-02-26,1.0844,,,,train
2024-02-27,1.0907,,,,train
2024-02-28,1.0823,,,,train
2024-02-29,1.0835,,,,train
2024-03-01,1.0855,,,,train
2024-03-02,1.0816,,,,train
2024-03-03,1.0811,,,,train
2024-03-04,1.0749,,,,train
2024-03-05,1.0783,,,,train
2024-03-06,1.0852,,,,train
2024-03-07,1.0841,,,,train
2024-03-08,1.0823,,,,train
2024-03-09,1.0867,,,,train
2024-03-10,1.086,,,,train
2024-03-11,1.0729,,,,train
2024-03-12,1.0652,,,,train
2024-03-13,1.0656,,,,train
2024-03-14,1.0637,,,,train
2024-03-15,1.0638,,,,train
2024-03-16,1.0679,,,,train
2024-03-17,1.0653,,,,train
2024-03-18,1.0632,,,,train
2024-03-19,1.0674,,,,train
2024-03-20,1.0686,,,,train
2024-03-21,1.072,,,,train
2024-03-22,1.0714,,,,train
2024-03-23,1.072,,,,train
2024-03-24,1.0718,,,,train
2024-03-25,1.0698,,,,train
2024-03-26,1.0744,,,,train
2024-03-27,1.0776,,,,train
2024-03-28,1.0766,,,,train
2024-03-29,1.0743,,,,train
2024-03-30,1.0732,,,,train
2024-03-31,1.0779,,,,train
2024-04-01,1.0795,,,,train
2024-04-02,1.0796,,,,train
2024-04-03,1.0832,,,,train
2024-04-04,1.0866,,,,train
2024-04-05,1.0844,,,,train
2024-04-06,1.0861,,,,train
2024-04-07,1.0864,,,,train
2024-04-08,1.083,,,,train
2024-04-09,1.0854,,,,train
2024-04-10,1.084,,,,train
2024-04-11,1.0843,,,,train
2024-04-12,1.0882,,,,train
2024-04-13,1.0857,,,,train
2024-04-14,1.0815,,,,train
2024-04-15,1.0852,,,,train
2024-04-16,1.0842,,,,train
2024-04-17,1.0865,,,,train
2024-04-18,1.0872,,,,train
2024-04-19,1.0865,,,,train
2024-04-20,1.0898,,,,train
2024-04-21,1.0756,,,,train
2024-04-22,1.073,,,,train
2024-04-23,1.0765,,,,train
2024-04-24,1.0784,,,,train
2024-04-25,1.0686,,,,train
2024-04-26,1.0712,,,,train
2024-04-27,1.0715,,,,train
2024-04-28,1.0749,,,,train
2024-04-29,1.0719,,,,train
2024-04-30,1.0688,,,,train
2024-05-01,1.073,,,,train
2024-05-02,1.0714,,,,train
2024-05-03,1.0689,,,,train
2024-05-04,1.0696,,,,train
2024-05-05,1.0705,,,,train
2024-05-06,1.0745,,,,train
2024-05-07,1.0729,,,,train
2024-05-08,1.0758,,,,train
2024-05-09,1.08,,,,train
2024-05-10,1.0824,,,,train
2024-05-11,1.0835,,,,train
2024-05-12,1.0814,,,,train
2024-05-13,1.0825,,,,train
2024-05-14,1.0855,,,,train
2024-05-15,1.089,,,,train
2024-05-16,1.0907,,,,train
2024-05-17,1.0902,,,,train
2024-05-18,1.0934,,,,train
2024-05-19,1.093,,,,train
2024-05-20,1.089,,,,train
2024-05-21,1.0888,,,,train
2024-05-22,1.086,,,,train
2024-05-23,1.0848,,,,train
2024-05-24,1.0851,,,,train
2024-05-25,1.086,,,,train
2024-05-26,1.0817,,,,train
2024-05-27,1.0824,,,,train
2024-05-28,1.0828,,,,train
2024-05-29,1.0789,,,,train
2024-05-30,1.0835,,,,train
2024-05-31,1.0966,,,,train
2024-06-01,1.0915,,,,train
2024-06-02,1.0922,,,,train
2024-06-03,1.093,,,,train
2024-06-04,1.0917,,,,train
2024-06-05,1.0925,,,,train
2024-06-06,1.0931,,,,train
2024-06-07,1.1019,,,,train
2024-06-08,1.1011,,,,train
2024-06-09,1.0994,,,,train
2024-06-10,1.1041,,,,train
2024-06-11,1.1084,,,,train
2024-06-12,1.1116,,,,train
2024-06-13,1.1135,,,,train
2024-06-14,1.1121,,,,train
2024-06-15,1.1163,,,,train
2024-06-16,1.1162,,,,train
2024-06-17,1.1117,,,,train
2024-06-18,1.1088,,,,train
2024-06-19,1.1087,,,,train
2024-06-20,1.1061,,,,train
2024-06-21,1.1035,,,,train
2024-06-22,1.105,,,,train
2024-06-23,1.1097,,,,train
2024-06-24,1.1103,,,,train
2024-06-25,1.1043,,,,train
2024-06-26,1.1031,,,,train
2024-06-27,1.1043,,,,train
2024-06-28,1.1016,,,,train
2024-06-29,1.1081,,,,train
2024-06-30,1.1126,,,,train
2024-07-01,1.1139,,,,train
2024-07-02,1.1124,,,,train
2024-07-03,1.1156,,,,train
2024-07-04,1.1166,,,,train
2024-07-05,1.1119,,,,train
2024-07-06,1.1133,,,,train
2024-07-07,1.1194,,,,train
2024-07-08,1.1155,,,,train
2024-07-09,1.1158,,,,train
2024-07-10,1.1196,,,,train
2024-07-11,1.1086,,,,train
2024-07-12,1.1071,,,,train
2024-07-13,1.1039,,,,train
2024-07-14,1.1029,,,,train
2024-07-15,1.0982,,,,train
2024-07-16,1.0982,,,,train
2024-07-17,1.0957,,,,train
2024-07-18,1.0932,,,,train
2024-07-19,1.0938,,,,train
2024-07-20,1.0915,,,,train
2024-07-21,1.0903,,,,train
2024-07-22,1.0897,,,,train
2024-07-23,1.0866,,,,train
2024-07-24,1.0847,,,,train
2024-07-25,1.0853,,,,train
2024-07-26,1.0821,,,,train
2024-07-27,1.0767,,,,train
2024-07-28,1.0801,,,,train
2024-07-29,1.0825,,,,train
2024-07-30,1.0818,,,,train
2024-07-31,1.0774,,,,train
2024-08-01,1.0815,,,,train
2024-08-02,1.0882,,,,train
2024-08-03,1.0885,,,,train
2024-08-04,1.0904,,,,train
2024-08-05,1.0897,,,,train
2024-08-06,1.0695,,,,train
2024-08-07,1.0785,,,,train
2024-08-08,1.0772,,,,train
2024-08-09,1.0651,,,,train
2024-08-10,1.0617,,,,train
2024-08-11,1.0629,,,,train
2024-08-12,1.0533,,,,train
2024-08-13,1.0583,,,,train
2024-08-14,1.0552,,,,train
2024-08-15,1.0578,,,,train
2024-08-16,1.0562,,,,train
2024-08-17,1.0526,,,,train
2024-08-18,1.0412,,,,train
