hour,target_curve,optimal_baseline,residual,is_anomaly,threshold
0,293.96,293.7,0.0008766901574670092,False,0.007
1,292.4215,292.67,0.0008379134774253481,False,0.007
2,290.7,291.21,0.0017196614627237783,False,0.007
3,289.79,289.89,0.00033718852210259264,False,0.007
4,288.88,288.9,6.74377044204802e-05,False,0.007
5,288.23,288.12,0.0003709073743130244,False,0.007
6,287.82,287.4,0.0014161917928314257,False,0.007
7,287.13,286.99,0.00047206393094374467,False,0.007
8,286.44,286.68,0.000809252453046529,False,0.007
9,286.27,286.2,0.00023603196547187233,False,0.007
10,285.96,285.71,0.0008429713052567691,False,0.007
11,285.65,285.3,0.0011801598273593616,False,0.007
12,285.15,284.77,0.0012813163839902736,False,0.007
13,283.619666667,284.55,0.003136977216171634,False,0.007
14,282.089333333,285.35,0.010994593745152947,True,0.007
15,288.906,287.65,0.004235087837610105,False,0.007
16,285.9845,290.15,0.014045587888188124,True,0.007
17,291.41,292.2,0.0026637893246112677,False,0.007
18,294.7,293.24,0.004922952422699463,False,0.007
19,294.6225,295.04,0.0014077620797788657,False,0.007
20,295.76,296.17,0.0013824729406211856,False,0.007
21,296.24,296.54,0.0010115655663081612,False,0.007
22,296.57,296.74,0.0005732204875746567,False,0.007
23,296.11,296.53,0.001416191792831234,False,0.007
