hour,target_curve,optimal_baseline,residual
0,293.96,293.7,0.2599999999999909
1,292.4215,292.67,0.24850000000003547
2,290.7,291.21,0.5099999999999909
3,289.79,289.89,0.0999999999999659
4,288.88,288.9,0.01999999999998181
5,288.23,288.12,0.11000000000001364
6,287.82,287.4,0.4200000000000159
7,287.13,286.99,0.13999999999998636
8,286.44,286.68,0.2400000000000091
9,286.27,286.2,0.06999999999999318
10,285.96,285.71,0.25
11,285.65,285.3,0.3499999999999659
12,285.15,284.77,0.37999999999999545
13,283.619666667,284.55,0.9303333330000214
14,282.089333333,285.35,3.2606666670000095
15,288.906,287.65,1.2560000000000286
16,285.9845,290.15,4.165499999999952
17,291.41,292.2,0.7899999999999636
18,294.7,293.24,1.4599999999999795
19,294.6225,295.04,0.4175000000000182
20,295.76,296.17,0.410000000000025
21,296.24,296.54,0.30000000000001137
22,296.57,296.74,0.17000000000001592
23,296.11,296.53,0.4199999999999591
