ds,H148_y,H206_y,H22_y,H240_y,H256_y,H279_y,H334_y,H42_y,H59_y,H65_y,H148_TimeGPT,H206_TimeGPT,H22_TimeGPT,H240_TimeGPT,H256_TimeGPT,H279_TimeGPT,H334_TimeGPT,H42_TimeGPT,H59_TimeGPT,H65_TimeGPT,H148_TimeGPT-hi-95,H206_TimeGPT-hi-95,H22_TimeGPT-hi-95,H240_TimeGPT-hi-95,H256_TimeGPT-hi-95,H279_TimeGPT-hi-95,H334_TimeGPT-hi-95,H42_TimeGPT-hi-95,H59_TimeGPT-hi-95,H65_TimeGPT-hi-95,H148_TimeGPT-lo-95,H206_TimeGPT-lo-95,H22_TimeGPT-lo-95,H240_TimeGPT-lo-95,H256_TimeGPT-lo-95,H279_TimeGPT-lo-95,H334_TimeGPT-lo-95,H42_TimeGPT-lo-95,H59_TimeGPT-lo-95,H65_TimeGPT-lo-95,H148_TimeGPT-hi-80,H206_TimeGPT-hi-80,H22_TimeGPT-hi-80,H240_TimeGPT-hi-80,H256_TimeGPT-hi-80,H279_TimeGPT-hi-80,H334_TimeGPT-hi-80,H42_TimeGPT-hi-80,H59_TimeGPT-hi-80,H65_TimeGPT-hi-80,H148_TimeGPT-lo-80,H206_TimeGPT-lo-80,H22_TimeGPT-lo-80,H240_TimeGPT-lo-80,H256_TimeGPT-lo-80,H279_TimeGPT-lo-80,H334_TimeGPT-lo-80,H42_TimeGPT-lo-80,H59_TimeGPT-lo-80,H65_TimeGPT-lo-80
2020-01-28 00:00:00,137.0,,651.0,,,,,4485.0,1340.0,8649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28 01:00:00,51.0,,651.0,,,,,4402.0,1316.0,8131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28 02:00:00,39.0,,648.0,,,,,4245.0,1278.0,7675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28 03:00:00,21.0,,638.0,,,,,3972.0,1237.0,7448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28 04:00:00,15.0,,633.0,,,,,3611.0,1280.0,7645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28 05:00:00,23.0,,628.0,,,,,3352.0,1219.0,8418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28 06:00:00,109.0,,609.0,,,,,3134.0,1178.0,9107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28 07:00:00,142.0,,593.0,,,,,3008.0,1112.0,10011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28 08:00:00,225.0,,584.0,,,,,2858.0,1063.0,10575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28 09:00:00,419.0,,577.0,,,,,2834.0,1033.0,11036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28 10:00:00,410.0,,574.0,,,,,2857.0,996.0,11188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28 11:00:00,446.0,,573.0,,,,,2953.0,987.0,11364.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28 12:00:00,598.0,,579.0,,,,,3046.0,967.0,11279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28 13:00:00,566.0,,585.0,,,,,3261.0,978.0,11802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28 14:00:00,546.0,,595.0,,,,,3544.0,1012.0,11862.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28 15:00:00,552.0,,608.0,,,,,3826.0,1047.0,12423.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28 16:00:00,517.0,,609.0,,,,,4100.0,1136.0,12977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28 17:00:00,792.0,,624.0,,,,,4361.0,1197.0,13195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28 18:00:00,648.0,,634.0,,,,,4444.0,1259.0,12864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28 19:00:00,334.0,,640.0,,,,,4485.0,1333.0,12468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28 20:00:00,356.0,,651.0,,,,,4571.0,1278.0,12680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
