ds,y_H165,y_H25,y_H263,y_H299,naive_H165,naive_H25,naive_H263,naive_H299,seasonal_H165,seasonal_H25,seasonal_H263,seasonal_H299
2024-01-25 05:00:00,29.0,2577.0,,,,,,,,,,
2024-01-25 06:00:00,17.0,2438.0,,,,,,,,,,
2024-01-25 07:00:00,19.0,2265.0,,,,,,,,,,
2024-01-25 08:00:00,33.0,2102.0,,,,,,,,,,
2024-01-25 09:00:00,54.0,1993.0,,,,,,,,,,
2024-01-25 10:00:00,112.0,1911.0,,,,,,,,,,
2024-01-25 11:00:00,169.0,1863.0,,,,,,,,,,
2024-01-25 12:00:00,162.0,1816.0,,,,,,,,,,
2024-01-25 13:00:00,242.0,1820.0,,,,,,,,,,
2024-01-25 14:00:00,324.0,1833.0,,,,,,,,,,
2024-01-25 15:00:00,322.0,1902.0,,,,,,,,,,
2024-01-25 16:00:00,262.0,1997.0,,,,,,,,,,
2024-01-25 17:00:00,340.0,2142.0,,,,,,,,,,
2024-01-25 18:00:00,295.0,2239.0,,,,,,,,,,
2024-01-25 19:00:00,271.0,2355.0,,,,,,,,,,
2024-01-25 20:00:00,284.0,2421.0,,,,,,,,,,
2024-01-25 21:00:00,210.0,2516.0,,,,,,,,,,
2024-01-25 22:00:00,185.0,2588.0,,,,,,,,,,
2024-01-25 23:00:00,257.0,2678.0,,,,,,,,,,
2024-01-26 00:00:00,125.0,2732.0,,,,,,,,,,
2024-01-26 01:00:00,95.0,2780.0,,,,,,,,,,
2024-01-26 02:00:00,57.0,2780.0,,,,,,,,,,
2024-01-26 03:00:00,31.0,2741.0,,,,,,,,,,
2024-01-26 04:00:00,22.0,2613.0,,,,,,,,,,
2024-01-26 05:00:00,16.0,2528.0,,,,,,,,,,
2024-01-26 06:00:00,24.0,2394.0,,,,,,,,,,
2024-01-26 07:00:00,18.0,2198.0,,,,,,,,,,
2024-01-26 08:00:00,26.0,2034.0,,,,,,,,,,
2024-01-26 09:00:00,24.0,1935.0,,,,,,,,,,
2024-01-26 10:00:00,53.0,1853.0,,,,,,,,,,
2024-01-26 11:00:00,64.0,1794.0,,,,,,,,,,
2024-01-26 12:00:00,114.0,1771.0,,,,,,,,,,
2024-01-26 13:00:00,161.0,1763.0,,,,,,,,,,
2024-01-26 14:00:00,179.0,1752.0,,,,,,,,,,
2024-01-26 15:00:00,166.0,1804.0,,,,,,,,,,
2024-01-26 16:00:00,174.0,1905.0,,,,,,,,,,
2024-01-26 17:00:00,182.0,2006.0,,,,,,,,,,
2024-01-26 18:00:00,241.0,2105.0,,,,,,,,,,
2024-01-26 19:00:00,220.0,2168.0,,,,,,,,,,
