ds,H165_y,H25_y,H263_y,H299_y,H165_TimeGPT,H25_TimeGPT,H263_TimeGPT,H299_TimeGPT,H165_TimeGPT-lo-80,H25_TimeGPT-lo-80,H263_TimeGPT-lo-80,H299_TimeGPT-lo-80,H165_TimeGPT-hi-80,H25_TimeGPT-hi-80,H263_TimeGPT-hi-80,H299_TimeGPT-hi-80,H165_TimeGPT-lo-90,H25_TimeGPT-lo-90,H263_TimeGPT-lo-90,H299_TimeGPT-lo-90,H165_TimeGPT-hi-90,H25_TimeGPT-hi-90,H263_TimeGPT-hi-90,H299_TimeGPT-hi-90
2024-01-25 05:00:00,29.0,2577.0,,,,,,,,,,,,,,,,,,,,,,
2024-01-25 06:00:00,17.0,2438.0,,,,,,,,,,,,,,,,,,,,,,
2024-01-25 07:00:00,19.0,2265.0,,,,,,,,,,,,,,,,,,,,,,
2024-01-25 08:00:00,33.0,2102.0,,,,,,,,,,,,,,,,,,,,,,
2024-01-25 09:00:00,54.0,1993.0,,,,,,,,,,,,,,,,,,,,,,
2024-01-25 10:00:00,112.0,1911.0,,,,,,,,,,,,,,,,,,,,,,
2024-01-25 11:00:00,169.0,1863.0,,,,,,,,,,,,,,,,,,,,,,
2024-01-25 12:00:00,162.0,1816.0,,,,,,,,,,,,,,,,,,,,,,
2024-01-25 13:00:00,242.0,1820.0,,,,,,,,,,,,,,,,,,,,,,
2024-01-25 14:00:00,324.0,1833.0,,,,,,,,,,,,,,,,,,,,,,
2024-01-25 15:00:00,322.0,1902.0,,,,,,,,,,,,,,,,,,,,,,
2024-01-25 16:00:00,262.0,1997.0,,,,,,,,,,,,,,,,,,,,,,
2024-01-25 17:00:00,340.0,2142.0,,,,,,,,,,,,,,,,,,,,,,
2024-01-25 18:00:00,295.0,2239.0,,,,,,,,,,,,,,,,,,,,,,
2024-01-25 19:00:00,271.0,2355.0,,,,,,,,,,,,,,,,,,,,,,
2024-01-25 20:00:00,284.0,2421.0,,,,,,,,,,,,,,,,,,,,,,
2024-01-25 21:00:00,210.0,2516.0,,,,,,,,,,,,,,,,,,,,,,
2024-01-25 22:00:00,185.0,2588.0,,,,,,,,,,,,,,,,,,,,,,
2024-01-25 23:00:00,257.0,2678.0,,,,,,,,,,,,,,,,,,,,,,
2024-01-26 00:00:00,125.0,2732.0,,,,,,,,,,,,,,,,,,,,,,
2024-01-26 01:00:00,95.0,2780.0,,,,,,,,,,,,,,,,,,,,,,
2024-01-26 02:00:00,57.0,2780.0,,,,,,,,,,,,,,,,,,,,,,
2024-01-26 03:00:00,31.0,2741.0,,,,,,,,,,,,,,,,,,,,,,
